grievance_id,text,department,state,urgency,if_anomaly_score,escalation_risk,predicted_resolution_days
gdn_4887952455411930416,"‘Defeated by conspiracy’: West Bengal chief minister refuses to resign after election loss. Mamata Banerjee says Narendra Modi’s party ‘forcefully captured’ election that ended her party’s 15 years in power A political showdown is taking place in the Indian state of West Bengal as the chief minister, Mamata Banerjee, India’s most powerful female politician, has refused to resign after she lost elections to the prime minister’s party this week. Narendra Modi’s Bharatiya Janata party (BJP) won an overwhelming victory on Monday in state elections in West Bengal, where Banerjee and her Trinamool Congress",Ministry of Power,West Bengal,medium,0.6312,0.014,48.8
gdn_4162699501847714905,"Narendra Modi’s BJP wins election in West Bengal for the first time. Result in key Indian state is set to have significant implications for the country’s political landscape Narendra Modi’s party has won a resounding election victory in West Bengal, a state which had been a rare opposition stronghold, expanding his unrivalled consolidation of power across the country. It is the first time that the Indian prime minister’s Bharatiya Janata party (BJP) has won assembly elections in West Bengal, a large and politically significant state in eastern India. Over the past 15",Ministry of Power,West Bengal,medium,0.6427,0.007,58.5
gdn_9165356237000721634,"‘It’s no longer exceptional’: Karachi struggles under brutal new reality of extreme heat. Experts say the unseasonably hot weather across south Asia shows the impact of the climate crisis An intense and prolonged heatwave has been causing misery for millions across Pakistan and India. In southern Pakistan throughout April and May, temperatures have risen far above seasonal norms. In Sindh, daytime temperatures have frequently crossed 44C to 46C, forcing residents indoors during peak afternoon hours and severely affecting outdoor labourers, transport workers and farming communities.",Ministry of Labour,national,medium,0.624,0.015,45.3
gdn_4664333789051364220,"Tensions high in West Bengal after BJP aide shot dead and hundreds arrested. Turmoil and violence rocks state after prime minister Narendra Modi’s party claimed victory in legislative election Tensions have been high in the Indian state of West Bengal after a top political aide from Narendra Modi’s party was shot dead in the street and hundreds were arrested as violence broke out following elections this week. The prime minister’s Bharatiya Janata party (BJP) claimed victory in the West Bengal elections on Monday, defeating Trinamool Congress (TMC), which had ruled over the state legisl",Ministry of Home Affairs,West Bengal,medium,0.6361,0.008,51.7
rss_4960694801362518353,"Tamil Nadu’s rights of utmost importance, never said will surrender that: Higher Education Minister. He was responding to a controversy stoked by his statement in Madurai on Wednesday that the new government need not follow the policies of the previous government, particularly with regard to the Chief Minister serving as the Chancellor of universities",Ministry of Education,Tamil Nadu,medium,0.5793,0.018,53.8
rss_7460992571625864420,"T.N. Higher Education Minister says CM need not be Chancellor of universities; DMK, VCK criticise remark. During his visit to Madurai, the Minister had stated that the present TVK-led government should not find it imperative to stick to the stand taken by the previous DMK government that the Chief Minister alone should be the Chancellor of State-run universities",Ministry of Education,national,medium,0.568,0.025,48.0
rss_1548831217451094481,"Women-led solar power plant inaugurated in Telangana’s Khammam; ₹4.5 lakh-₹5 lakh monthly income estimated. Telangana government intends to establish similar solar power plants in every district, says Deputy CM and Power Minister Mallu Bhatti Vikramarka",Ministry of Power,Telangana,low,0.6107,0.011,46.5
rss_5387891417424261866,"Tamil Nadu CM Vijay calls on PM Modi at New Delhi; discusses Mekedatu, fishermen issues. Mr. Vijay urged the Prime Minister to direct the Union Home Ministry to issue a clarification permitting the respective State invocation songs to be sung at the beginning of all government events",Ministry of Home Affairs,Tamil Nadu,low,0.6033,0.01,49.2
rss_9122256072305967243,"Andhra Pradesh officials say Odisha blocking census collection in Kotia villages. Tribal Welfare Minister Gummadi Sandhya Rani has asked Chief Minister N. Chandrababu Naidu to protect the people of the disputed Kotia villages, where Odisha officials have reportedly stopped Andhra Pradesh staff from collecting census data",Ministry of Panchayati Raj,Andhra Pradesh,high,0.561,0.015,43.1
rss_2071876632189045651,"Emotional scenes as Abdul Rahim arrives home in Kerala after serving 20-year jail term in Saudi. A native of Kodampuzha in Kozhikode district of Kerala, Abdul Rahim was imprisoned and sentenced to death in 2006 for the murder of 14-year-old differently abled son of his employer. His jail term ended on May 19",Ministry of Home Affairs,Kerala,low,0.6123,0.008,47.6
rss_2663288070186685414,"Sold twice, raped multiple times, tribal girl trafficked from Odisha narrates ordeal. Odisha police launch investigation after the girl who escaped from Jhansi district of Uttar Pradesh file a formal complaint",Ministry of Home Affairs,Uttar Pradesh,low,0.5678,0.016,43.1
rss_4579442789673977777,"India, China hold 'constructive' talks on LAC; agree border peace key to normalising ties. The two sides also agreed to work together to make ""substantive preparation"" for the next meeting of the Special Representatives (SR) which is to be held in China",Ministry of Education,national,low,0.5929,0.014,43.6
rss_2804315463731884290,"Bihar cabinet approves ‘cashless treatment’ for MLAs, government officials, employees and pensioners. The cabinet also approved the framing of “Bihar Ryot Land Purchase Policy 2026”, as per which land can be acquired based on mutual talks/coordination/consent from the ryots for various projects of both the central and state governments",Ministry of Social Justice,Bihar,medium,0.5731,0.013,51.9
rss_1251190624832551962,"Annapurna Yojana: How to enrol in West Bengal’s new cash aid scheme for women. Under the Annapura Yojana scheme, women will receive ₹3,000 per month. The existing Lakshmir Bhandar scheme will continue until the new programme is fully implemented",Ministry of Panchayati Raj,West Bengal,low,0.6124,0.005,48.0
rss_1803991030941985254,"Finance Ministry to conduct factory visits for ground-level inputs ahead of Budget planning. The initiative, led by the Department of Economic Affairs in the Finance Ministry, will involve senior DEA officials visiting large, medium and small manufacturing units, as well as externally aided projects, to assess operational and policy challenges across sectors",Ministry of Finance,national,low,0.613,0.014,43.6
rss_7226573810911261867,"Watch: Whatever happened to India’s ambitious biogas plans?. We are now starting to see the impact of the war in West Asia, and the resultant blockade of the Strait of Hormuz by both the U.S. and Iran. The government has raised petrol and diesel prices after a gap of four years. The price of CNG has been increased. This crisis is showing just how vulnerable India’s energy security is to external shocks. But, is there a fuel we’ve been sitting on all along that can potentially solve several issues?",Ministry of Home Affairs,national,medium,0.607,0.025,48.3
rss_2030982072098924768,Fuel prices up ₹7.5 in 10 days after fourth hike by ₹2.8 per litre. Petrol crosses ₹100/litre mark in Delhi after four years; Finance Minister Nirmala Sitharaman says government to take ₹1 lakh crore revenue hit for reducing Central excise duty on petrol and diesel by ₹10 a litre,Ministry of Petroleum,Delhi,medium,0.5943,0.021,46.9
rss_2973894956687589869,China agrees to boost trade for U.S. agricultural products following Trump-Xi summit. The announcement came two days after President Donald Trump returned from a high-stakes summit in Beijing where he sought to ease the impact on American farmers from the trade war he launched last year,Ministry of Agriculture,national,low,0.6002,0.014,43.6
rss_4563675688401798738,"Weather Today LIVE: Delhi May Get Relief As Weather Body Predicts Rain, Storms Today. Weather Updates Today, Heatwave, IMD Alert LIVE Updates: Light to very light rain is expected during the afternoon and evening, accompanied by strong winds and squalls reaching speeds of 50-60 kmph",Ministry of Finance,Delhi,medium,0.561,0.011,50.5
rss_694361377404539253,"""Superman to Clark Kent"": Clavicular heavily trolled after quitting testosterone as viral transformation shocks viewers. Looksmaxxing influencer Clavicular, whose real name is Braden Peters, faced intense online criticism after appearing noticeably different following his decision to quit testosterone and other substances. The backlash came weeks after a hospitalization linked to a health scare that prompted him to rethink his lifestyle. While critics mocked his reduced physique, many supporters praised his choice to prioritize long-term health and well-being over maintaining an image built around extreme looksmaxxing practices",Ministry of Health,national,medium,0.6269,0.042,47.4
rss_9046930738098461284,"Why did Adin Ross refuse UFC Freedom 250 appearance despite Donald Trump planning historic White House fight night?. Adin Ross said he will not attend UFC Freedom 250 at the White House after hearing rumors that Benjamin Netanyahu could be there. Ross shared the decision during a Kick livestream and said he prefers watching from home with his father. Meanwhile, UFC and White House staff are preparing the historic June 16 event, with Dana White and Donald Trump promising a massive crowd and celebration",Ministry of Home Affairs,national,medium,0.6068,0.025,48.3
rss_9161061295069255679,"“This is so stupid”: Candace Owens challenges Blake Neff over Charlie Kirk and Erika Kirk TPUSA successor claims. Candace Owens and Blake Neff clashed again on X after Neff appeared to mock Owens’ possible presidential ambitions. Owens responded by demanding proof that Charlie Kirk appointed Erika Kirk as his successor at TPUSA. Their argument quickly spread online, with supporters from both sides reacting strongly. The controversy also renewed public debate around Erika Kirk’s growing role within Turning Point USA",Ministry of Social Justice,national,medium,0.6047,0.025,48.3
rss_2813327474287685172,"Arsenal Thobe for Eid? Zohran Mamdani goes viral in bold football-themed outfit at Eid al-Adha celebration. Zohran Mamdani marked Eid al-Adha in the Bronx wearing a custom Arsenal-inspired thobe, blending religious tradition with football identity during a public appearance alongside Alexandria Ocasio-Cortez. The outfit, adapted from Arsenal’s away kit, drew attention online for its symbolic fusion of culture, faith and sport. Mamdani’s message on solidarity and public service framed the celebration as both personal expression and political statement in New York",Ministry of Social Justice,national,medium,0.617,0.025,48.3
rss_7024993900763809927,"PM Narendra Modi urges precaution as IMD warns heatwave for next 2-3 days. Heat wave to severe heat wave conditions are likely to continue over Central and Northwest India during next two to three days, the India Meteorological Department (IMD) has warned. Large parts of the country have been recording a prolonged hot spell for a week now, further accentuated by warm nights in many places",Ministry of Social Justice,national,medium,0.5755,0.024,45.8
rss_7872085667754379189,"‘Bambi bucket’ ops, ₹67 lakh losses: IAF steps in as Himachal battles massive forest fire in Kasauli. The aerial firefighting operation was launched after the blaze spread across difficult mountainous terrain near the Air Force Station in the Solan district",Ministry of Railways,national,low,0.6178,0.014,45.8
rss_7762987491008386999,"Royal Enfield unveils Bullet 650; check details. Royal Enfield launched ‘Bullet’ in its powerful 650cc avatar in India on Thursday with availability across all authorised company dealerships. The new launch is priced at Rs 3,64,856 (ex-showroom) with two colours Cannon Black and Battleship Blue.Bullet 650 is paired with a 6-speed gearbox and a twin-cylinder platform that is suited for both relaxed cruising and spirited riding. It is built around a steel tubular spine frame and equipped with Showa suspension.The Bullet's traditional stance is anchored by 19-inch front and 18-inch rear wheels, as the company chose to maintain the classic proportions that have long defined the motorcycle's road presence. It has also maintained the signature teardrop fuel tank with its vintage-inspired winged badge, hand-painted pinstripes, and bench seat.The motorcycle also features a casquette-mounted LED headlamp along with the iconic “tiger-eye” pilot lamps. The new launched has raised handlebars and an upright riding posture to reinforce the presence that has always defined the Bullet on the road.Bullet 650 has a digital LCD display showing essential information such as fuel level, trip meter, gea",Ministry of Finance,national,low,0.7126,0.014,45.8
rss_5530590337333460315,"Office realty leasing rises 30%, on track to beat last year high. Mumbai: Robust demand for office spaces has pushed commercial property leasing in the first three quarters of 2019 by 30% from a year ago, taking it closer to entire 2018’s performance and making sure that this year surpasses the peak touched last year.Driven by tech corporates — accounting for about a third of the leasing activity — office space take-up touched 47 million sq ft in the first nine months against entire 2018’s performance of 48.9 million sq ft, showed data from CBRE South Asia. With this, office leasing activity is now expected to touch its highest level ever, estimated to be over 60 million sq ft in 2019.Leasing activity stood at about 15.4 million sq ft during the quarter ended September, rising by nearly 23% on an annual basis. This was dominated by small- to medium-sized transactions. Small-sized transactions of less than 10,000 sq ft accounted for over 40% of the transaction activity in the quarter. 71641558 “With office leasing scaling a historic high in 2019, we expect further strengthening of occupier sentiment in the medium to long term, backed by corporates looking to expand or consolidate th",Ministry of Finance,national,medium,0.7013,0.014,59.6
rss_8229747939041014641,"Developers may face liquidity crisis on NBFC woes: Fitch. MUMBAI: Liquidity risk is increasing for Indian-based real-estate developers, as non-bank financial institutions (NBFI; including housing finance companies) are shying away from lending to the sector, said Fitch Ratings.Developers that rely on refinancing from NBFIs, particularly those with weak financial profiles, will be affected the most should conditions persist. The availability of unencumbered assets among large developers may be of limited use, as NBFIs are looking to shed their already-high exposure to the sector, especially to large borrowers.NBFIs have disproportionately increased their share of real-estate sector credit in the previous few years, owing to heightened risk aversion by banks; banks have been cutting exposure due to their own funding challenges that began in late 2018, which have become more acute in the previous few months; domestic bank exposures fell to 2.3% of loans in the financial year ending March 2019 from 2.8% in 2015-16.NBFIs are now also shying away from refinancing maturing debt of even large, proven developers to limit concentration risk to the sector. This is pushing developers towards a",Ministry of Finance,national,medium,0.6835,0.023,45.2
rss_6970009393613922558,"Adani Green to seek board nod to raise up to $1 billion. Adani Green Energy is set to seek board approval to raise Rs 6,150 crore ($750 million) to Rs 8,200 crore ($1 billion) through the qualified institutional placement (QIP) route, said people aware of the matter.Two group companies had got approval of their boards for fundraising on May 13 —Adani Enterprises (Rs 12,500 crore) and Adani Transmission (Rs 8,500 crore).The exercise is part of a group plan outlined internally last year to build a “three-year equity cushion” to support expansion plans.Adani Green has secured such capital-raising permission every year from its board except in 2021, as per a Bloomberg analysis.The capital raised by Adani Green Energy will be used to repay an outstanding $750 million, three-year bond issued in 2021 that’s due next year. The money is likely to be kept in a dedicated redemption reserve account and paid on the due date, said the people cited above.Renegotiating Terms With TotalThe original plan had been to prepay the bond after special Reserve Bank of India (RBI) approval but the company decided against this move.“We do not comment on routine business matters. All public disclosures on bus",Ministry of Finance,national,medium,0.7046,0.012,57.8
rss_5526669454878684526,"At Rs 10,000 crore, Anil Ambani's Reliance Capital recovery may be only 43%. Lenders to Anil Ambani-promoted Reliance Capital are likely to recover just about ₹10,000 crore after the winning bidder, Hinduja Group, declined to significantly improve its offer in the last round of bilateral negotiations that ended on Monday evening, people aware of the development told ET. The recovery, totalling about ₹10,090 crore on factoring in the target company's cash balances and the Hinduja offer, falls short of the ₹12,500-13,000 crore estimated liquidation value. A Hinduja Group entity, IndusInd International Holdings, offered ₹9,650 crore in the extended auction held on April 26. Hinduja improved the offer by only ₹10 crore during the bilateral negotiations, the people cited above said. In addition, the distressed financial services company has around Rs 430 crore as cash balances, which would be distributed among the lenders. This would add up to Rs 10,090 crore, equating to a 43% recovery for verified lenders.Administrator Nageswara Rao Y has admitted Rs 23,666 crore in claims from verified creditors.""Hinduja Group will submit a detailed resolution plan by next week while lenders are in t",Ministry of Finance,national,medium,0.691,0.024,44.4
rss_4438508619821833264,"Apple faces Indian engineer’s bias lawsuit. Apple Inc. lost an early round in a discrimination lawsuit brought in the U.S. by a female engineer from India who says her two managers -- one from her country, the other from Pakistan -- treated her as they would in their own countries: as a subservient.The woman’s case in California state court is the latest to allege workplace bias in Silicon Valley that focuses on cultural prejudices of some tech workers from South Asia. Cisco Systems Inc. is fighting a suit brought by California’s civil rights agency alleging bias against a member of India’s so-called lower castes, known as Dalits.Anita Nariani Schulze is part of the Sindhi minority -- she is Hindu, with ancestry in the Sindh region of what is now Pakistan. Her complaint alleges that her senior and direct managers, both male, consistently excluded her from meetings while inviting her male counterparts, criticized her, micromanaged her work, and deprived her of bonuses, despite positive performance evaluations and significant team contributions.Schulze claims the managers’ animus reflects sexism, racism, religious bias and discrimination on the basis of national origin. The Sindhi Hi",Ministry of Finance,national,medium,0.6877,0.015,40.4
rss_5246441331655316726,"Ravi Shankar Prasad questions Arnab Goswami's arrest. NEW DELHI: Law Minister and senior BJP leader Ravi Shankar Prasad on Wednesday described the arrest of Republic TV Editor-in-Chief Arnab Goswami as ""seriously reprehensible, unwarranted and worrisome.""He also questioned the silence of the Congress leadership when its government in Maharashtra was ""blatantly suppressing freedom of press.""Police on Wednesday arrested Goswami in Mumbai for allegedly abetting suicide of a 53-year-old interior designer, a police official said.""The arrest of senior journalist Arnab Goswami is seriously reprehensible, unwarranted and worrisome. We had fought for freedoms of Press as well while opposing the draconian Emergency of 1975,"" Prasad said in a series of tweets.The arrest of senior journalist #ArnabGoswami is seriously reprehensible, unwarranted and worrisome. We had fought… https://t.co/d5fY66b1w5 mdash; Ravi Shankar Prasad (@rsprasad) 1604465175000He said while Congress leaders Sonia and Rahul Gandhi have attacked the Modi government ""through motivated charges of attack on institutions"" yet they are completely silent when their own government in Maharashtra is ""blatantly suppressing freedom o",Ministry of Home Affairs,Maharashtra,critical,0.7143,0.02,32.3
rss_5336933717466551832,"Delhi govt to recruit 15,000 more home guard personnel: LG. New Delhi: The Delhi government will recruit 15,000 home guards, taking their total number to 25,000, an official statement said on Wednesday. Delhi LG VK Saxena on Tuesday distributed letters of enrolment to 1669 home guards out of 10,000, for which the recruitment process was started in January, said the statement from the Raj Niwas. Addressing the newly recruited home guards at an event, the LG said that in the near future additional 15,000 home guards will be added, taking their total strength to over 25,000 it said. The newly recruited home guards included 226 former civil defence volunteers (CDVs) who were working as bus marshals when they were removed in November last year. The new recruits also included 181 women, the statement said. The LG in January this year cleared enrolment of 10,285 home guards and directed that the CDVs be given preference in the form of extra credit points in the selection process. However, some candidates approached the court, and as a result, the appointment on 7,939 posts of home guards was kept pending as the matter became sub-judice. The LG, had however, directed appointment of 2,346 h",Ministry of Home Affairs,Delhi,high,0.6802,0.029,42.8
SYN0002021,My luggage worth Rs 175335 was stolen from coach S4 on train Shatabdi and no proper action has been taken by railway authorities.,Ministry of Railways,Chhattisgarh,high,0.5624,0.039,58.6
SYN0002031,Doctor at Civil Hospital demanded Rs 144597 cash for treatment that should have been completely free under the government scheme.,Ministry of Health,Odisha,medium,0.5822,0.356,29.0
SYN0002062,My luggage worth Rs 71443 was stolen from coach S4 on train Vande Bharat 2056 and no proper action has been taken by railway authorities.,Ministry of Railways,Maharashtra,high,0.5628,0.019,42.4
SYN0002110,Scholarship amount of Rs 172466 has not been disbursed for the last 10 months despite successful application approval.,Ministry of Education,Telangana,high,0.5663,0.379,68.0
SYN0002116,Doctor at District Hospital demanded Rs 120450 cash for treatment that should have been completely free under the government scheme.,Ministry of Health,Haryana,medium,0.5617,0.213,40.4
SYN0002144,GST input credit of Rs 183950 has been blocked for 8 months without any clarification from the department.,Ministry of Finance,Madhya Pradesh,medium,0.5635,0.686,45.8
SYN0002155,Office of Ministry of Commerce closed during working hours repeatedly.,Ministry of Commerce,Jharkhand,low,0.5939,0.065,27.3
SYN0002177,Bank account was frozen without prior notice and an amount of Rs 6932 remains inaccessible for daily expenses.,Ministry of Finance,Punjab,medium,0.5761,0.722,43.8
SYN0002189,My luggage worth Rs 67612 was stolen from coach S7 on train 22691 and no proper action has been taken by railway authorities.,Ministry of Railways,Chhattisgarh,high,0.5854,0.026,67.2
SYN0002195,Scholarship amount of Rs 50336 has not been disbursed for the last 8 months despite successful application approval.,Ministry of Education,Delhi,medium,0.5654,0.681,37.6
SYN0002306,Doctor at Civil Hospital demanded Rs 70267 cash for treatment that should have been completely free under the government scheme.,Ministry of Health,Odisha,medium,0.608,0.754,33.2
SYN0002317,"Income tax refund of Rs 110268 for AY 2024-25 has not been credited even after 83 days, causing financial hardship.",Ministry of Finance,Uttarakhand,high,0.5757,0.59,39.5
SYN0002356,Doctor at District Hospital demanded Rs 127608 cash for treatment that should have been completely free under the government scheme.,Ministry of Health,Rajasthan,medium,0.5608,0.245,51.6
SYN0002503,Refund of Rs 35019 for cancelled ticket 5524902001 has still not been received after 168 days despite multiple complaints on the railway portal.,Ministry of Railways,Karnataka,high,0.5701,0.008,44.6
SYN0002554,Refund of Rs 186548 for cancelled ticket 6717765853 has still not been received after 33 days despite multiple complaints on the railway portal.,Ministry of Railways,Odisha,high,0.5801,0.022,33.4
SYN0002567,Mobile number portability request has been rejected multiple times without any valid reason or customer support assistance.,Ministry of Telecommunications,Maharashtra,medium,0.5606,0.23,16.1
SYN0002581,Excess bill of Rs 149821 was charged in December without any usage explanation from the telecom provider.,Ministry of Telecommunications,Maharashtra,medium,0.5673,0.455,37.0
SYN0002582,"Income tax refund of Rs 90341 for AY 2024-25 has not been credited even after 23 days, causing financial hardship.",Ministry of Finance,Assam,high,0.5688,0.32,63.4
SYN0002589,My luggage worth Rs 74376 was stolen from coach S4 on train Vande Bharat 2056 and no proper action has been taken by railway authorities.,Ministry of Railways,Tamil Nadu,medium,0.573,0.042,52.7
SYN0002597,Service not provided despite Rs 51295 fee paid to Ministry of Labour.,Ministry of Labour,Gujarat,low,0.5757,0.193,51.9
SYN0002635,Bank account was frozen without prior notice and an amount of Rs 158280 remains inaccessible for daily expenses.,Ministry of Finance,Uttarakhand,medium,0.5655,0.588,58.4
SYN0002686,Bank account was frozen without prior notice and an amount of Rs 66470 remains inaccessible for daily expenses.,Ministry of Finance,Tamil Nadu,medium,0.5781,0.587,58.7
SYN0002699,My luggage worth Rs 65955 was stolen from coach B2 on train Rajdhani and no proper action has been taken by railway authorities.,Ministry of Railways,Chhattisgarh,high,0.5636,0.03,54.5
SYN0002710,Doctor at Civil Hospital demanded Rs 161208 cash for treatment that should have been completely free under the government scheme.,Ministry of Health,Assam,medium,0.6038,0.78,56.8
SYN0002714,Crop insurance claim worth Rs 196209 was rejected without any valid inspection or explanation from officials.,Ministry of Agriculture,Madhya Pradesh,medium,0.6057,0.869,40.0
SYN0002721,Service not provided despite Rs 27634 fee paid to Ministry of Labour.,Ministry of Labour,Uttarakhand,medium,0.5746,0.121,56.0
SYN0002754,"Train Vande Bharat 2056 from Madhya Pradesh to Andhra Pradesh was delayed by 45 hours without any announcement, causing inconvenience to passengers and senior citizens.",Ministry of Railways,Andhra Pradesh,high,0.5645,0.014,36.7
SYN0002756,Teacher has remained absent from school in Block B for the past 129 days and students are suffering academically.,Ministry of Education,Uttarakhand,medium,0.5701,0.866,44.0
SYN0002788,My luggage worth Rs 129165 was stolen from coach A1 on train 22691 and no proper action has been taken by railway authorities.,Ministry of Railways,Delhi,medium,0.6067,0.049,63.4
SYN0002790,"Income tax refund of Rs 26917 for AY 2024-25 has not been credited even after 8 days, causing financial hardship.",Ministry of Finance,Assam,high,0.5648,0.407,66.6
SYN0002827,Doctor at District Hospital demanded Rs 77749 cash for treatment that should have been completely free under the government scheme.,Ministry of Health,Telangana,medium,0.5802,0.219,42.9
SYN0002955,Bank account was frozen without prior notice and an amount of Rs 915 remains inaccessible for daily expenses.,Ministry of Finance,Madhya Pradesh,medium,0.5683,0.6,39.8
SYN0002958,Service not provided despite Rs 197995 fee paid to Ministry of Home Affairs.,Ministry of Home Affairs,Bihar,medium,0.6035,0.759,32.8
